日期,话题,公司,标题,核心内容,是否头条,来源,链接,,,,,,,,,,,,,,,
2026/2/25,技术迭代,Anthropic,Claude Cowork实现企业级跨应用协同，允许AI调用三方平台数据与功能,Anthropic发布Claude Cowork更新，正式引入跨企业应用插件架构，允许AI直接调用Slack、Salesforce等第三方平台数据与功能。该更新强化了AI在组织内部的角色，使其能基于实时上下文进行跨部门调度。这种“插件化”策略旨在解决AI在企业内部的信息孤岛问题，将其定位为企业流程自动化的核心操作系统。,0,Anthropic,https://claude.com/blog/cowork-plugins-across-enterprise,,,,,,,,,,,,,,,
2026/2/25,产品动态,OpenAI,GPT-5.3-Codex正式通过API全量开放，支持128k超长输出与四档推理设置,OpenAI宣布开发者现可通过Responses API调用GPT-5.3-Codex模型，其核心突破在于支持128k Token的长文本输出能力，并提供四种不同强度的推理配置以优化成本。该模型针对复杂逻辑编码进行了深度对齐，极大提升了多文件工程的代码生成一致性。此举显著降低了开发大规模AI原生软件的门槛，进一步扩大了OpenAI在开发者生态中的先发优势。,0,Twitter,https://x.com/OpenAIDevs/status/2026379092661289260,,,,,,,,,,,,,,,
2026/2/25,技术迭代,OpenAI,Responses API支持Office文件直传，Agent具备原生文档深度解析能力,OpenAI更新其开发者接口，允许AI智能体直接上传并解析Word、PPT、Excel等原生Office格式文件，无需预处理转义。这一改进使Agent能够理解复杂的电子表格公式与幻灯片排版逻辑，直接从现实办公文档中提取关键要素。此功能将大幅提升自动化办公助手的可用性，加速AI在专业服务领域的落地应用。,0,Twitter,https://x.com/OpenAIDevs/status/2026420817568084436,,,,,,,,,,,,,,,
2026/2/25,技术迭代,MiniMax,MiniMax推出MaxClaw框架，支持24小时云端在线个性化Agent部署,MiniMax Agent平台上线MaxClaw功能，基于开源OpenClaw框架优化，支持用户一键部署具备持久化记忆的云端智能助手。该助手可实现24/7实时在线处理任务，并根据用户反馈进行个性化行为微调。MaxClaw的推出降低了高可用Agent的运维门槛，标志着国产AI Agent从简单的对话框转向具备独立运行能力的后端服务形态。,0,MiniMax,https://agent.minimax.io/docs/changelog,,,,,,,,,,,,,,,
2026/2/25,产品动态,Google,无代码工具Opal上线Agent功能，利用Gemini 1.5 Flash实现自主决策工作流,谷歌宣布其无代码平台Opal集成Agent step功能，通过Gemini 1.5 Flash模型赋予工作流自主判断力。不同于传统的静态自动化，该功能可根据实时输入动态调整执行路径，处理非结构化任务。这使得非技术用户也能通过自然语言构建复杂的业务逻辑，极大提升了企业内部流程自动化的灵活性与智能化水平。,0,Google,https://blog.google/innovation-and-ai/models-and-research/google-labs/opal-agent,,,,,,,,,,,,,,,
2026/2/25,技术迭代,OpenClaw,OpenClaw发布2026.2.23版，引入Compaction Overflow机制解决长对话截断,知名开源Agent框架OpenClaw发布更新，核心引入了Compaction Overflow Recovery机制。该机制通过智能摘要与内存溢出恢复算法，有效防止了在大规模上下文交互中因Token溢出导致的对话逻辑断裂。这一技术改进优化了复杂长链任务的稳定性，提升了开发者构建大规模交互式Agent的体验，是开源AI工具链的一次重要优化。,0,Twitter,https://x.com/openclaw/status/2026179562410021242,,,,,,,,,,,,,,,
2026/2/25,产品动态,英伟达,英伟达与联发科联手研发Arm架构PC芯片，集成高性能GPU对标MacBook,英伟达与联发科合作设计的Arm架构处理器计划于今年上半年发布，该芯片深度集成英伟达新一代GPU架构，主打低功耗环境下的卓越AI计算能力。其目标市场直指苹果MacBook所在的轻薄高性能笔记本领域，旨在通过强大的CUDA生态兼容性与联发科的能效控制，重塑Windows PC在AI时代的硬件标准。,0,智东西,https://zhidx.com/p/535887.html,,,,,,,,,,,,,,,
2026/2/25,技术迭代,百度,百度12篇成果入选CVPR 2026，在视觉多模态领域实现核心技术多点突破,百度宣布其在视觉感知、多模态理解及自动驾驶等领域的12项研究成果被计算机视觉顶会CVPR 2026录用。研究涵盖了高保真图像生成与长视频语义对齐等前沿方向，显示出百度在底层算法层面的持续创新。这些技术的突破正逐步转化为文心一言等核心产品的多模态能力，进一步强化了百度在视觉AI领域的竞争壁垒。,0,百度文心,https://mp.weixin.qq.com/s/aJjzBQZvOWgc5dJVgDGNSw,,,,,,,,,,,,,,,
2026/2/25,数据洞察,其他,国产模型春节复盘：开发者反馈MiniMax、GLM等在长文本稳定性上实现跨越,针对春节期间的大规模应用复盘，来自MiniMax、智谱GLM、Seedance的开发者一致认为，国产模型在处理百万级长文本输入时的逻辑连贯性与响应延迟已达到商用阈值。复盘显示，模型在复杂指令遵循与节日活动等爆发性流量冲击下表现稳定，解决了以往易出现的“幻觉”抖动问题，标志着国产AI工程化落地能力的成熟。,0,海外独角兽,https://mp.weixin.qq.com/s/xEWzdVvCyDfL8TiHmF72Jg,,,,,,,,,,,,,,,
2026/2/25,技术迭代,Anthropic,Anthropic发布RSP 3.0安全准则，明确超大规模模型风险阈值与防御要求,Anthropic更新其《负责任扩展政策》（RSP）至3.0版本，详细规定了模型能力达到特定级别时必须采取的物理隔离、加密存储及行为审计标准。该版本特别针对自主编程与生物危害等高风险领域设定了红线。此举旨在平衡研发速度与安全性，通过透明的准则构建公众信任，并作为行业标准引领AI安全合规体系的建立。,0,Anthropic,https://www.anthropic.com/news/responsible-scaling-policy-v3,,,,,,,,,,,,,,,
2026/2/25,产品动态,Microsoft,微软主权云支持全断网环境运行AI大模型，保障极端环境数据安全,微软主权云发布重大更新，支持在完全物理断网的“幽灵环境”下运行大型AI模型。该方案集成了高级治理与合规工具，确保政府及军工客户在处理极敏感数据时，无需连接公网即可获得生成式AI的算力支持。这一技术突破解决了国家级安全应用对AI的信任障碍，极大扩展了主权云的业务边界。,0,Microsoft,https://blogs.microsoft.com/blog/2026/02/24/microsoft-sovereign-cloud-adds-governance-productivity-and-support-for-large-ai-models-securely-running-even-when-completely-disconnected/,,,,,,,,,,,,,,,
2026/2/25,产品动态,Microsoft,微软推出电信业统一AI平台，利用生成式AI提升运营商投资回报率,微软发布专为电信运营商设计的可信AI平台，旨在通过自动化网络运维、智能客服及实时计费分析缩短业务响应时间。该平台利用Azure云原生算力协助运营商处理海量流量数据，降低运营成本并挖掘存量用户价值。微软此举意在通过垂直领域专用平台，深度绑定电信巨头，实现AI技术在通信基础设施层的货币化。,0,Microsoft,https://www.microsoft.com/en-us/industry/blog/telecommunications/2026/02/24/microsoft-accelerates-telecom-return-on-intelligence-with-a-unified-trusted-ai-platform/,,,,,,,,,,,,,,,
2026/2/25,商业动态,Anthropic,Anthropic收缩关键安全承诺范围，在激进竞争环境下寻求研发效率平衡,面对竞争对手的压迫，Anthropic被曝在内部政策中窄化了部分原有的安全审查范畴，以缩短模型迭代周期。这一调整引发了业内对其“安全优先”宗旨是否动摇的质疑。分析指出，随着AGI竞赛进入白热化阶段，即使是最保守的厂商也不得不在严苛安全标准与市场领先地位之间进行艰难权衡，风险偏好正发生微妙位移。,0,The Information,https://www.theinformation.com/briefings/anthropic-narrows-key-safety-commitment,,,,,,,,,,,,,,,
2026/2/25,商业动态,Anthropic,五角大楼向Anthropic发出最后通牒，要求周五前达成合作条款否则终止合同,美国国防部（Pentagon）向Anthropic下达最后通牒，限期要求其在周五前签署包含特定合规与交付条款的合同，否则将撤销相关合作。该事件涉及AI模型在军事防御系统中的集成权限与透明度要求。这一对峙反映出AI科技巨头与政府军事机构在敏感技术控制权上的核心博弈，对Anthropic的政府业务前景构成重大不确定性。,0,The Information,https://www.theinformation.com/briefings/pentagon-gives-anthropic-friday-deadline-agree-terms-terminate-contract,,,,,,,,,,,,,,,
2026/2/25,商业动态,Anthropic,Intuit与Anthropic达成Agent战略合作，利用Claude驱动财税自动化,金融科技巨头Intuit宣布将Anthropic的Claude模型引入其财税生态系统，构建具备专业金融逻辑的AI智能体。该合作旨在为中小企业提供自动化的税务申报指导、财务报表分析及自动化审计对账服务。通过结合Intuit的行业专有数据与Claude的强逻辑能力，双方试图重新定义金融服务领域的智能交互标准。,0,The Information,https://www.theinformation.com/briefings/intuit-partners-anthropic-agents,,,,,,,,,,,,,,,
2026/2/25,商业动态,Meta,Meta斥巨资锁定6吉瓦芯片产能，与AMD深度绑定对冲英伟达垄断风险,Meta正式签署大规模采购协议，锁定AMD共计6吉瓦功率级别的AI加速器供应量，这是近年来硅谷最大的单笔非对称芯片订单。此举核心意图是绕开英伟达的产能限制与价格博弈，通过扶持AMD构建自主、稳定的算力供应链。该笔订单将支撑Meta下一代推荐算法与元宇宙AI的大规模训练需求，深刻影响全球GPU市场份额。,0,The Information,https://www.theinformation.com/briefings/meta-strikes-six-gigawatt-compute-deal-amd,,,,,,,,,,,,,,,
2026/2/25,数据洞察,字节跳动,豆包以1亿用户规模赢得春节大考，确立国内C端AI应用流量领先优势,根据路透社最新数据，字节跳动旗下AI聊天机器人“豆包”在春节期间通过大规模场景渗透，注册用户数成功突破1亿大关，显著领先于竞争对手。其成功归功于与字节系短视频生态的深度打通以及极低的用户交互门槛。这一里程碑事件标志着国产AI应用已进入“亿级俱乐部”竞争时代，用户心智占领战进入下半场。,0,Reuters,https://www.reuters.com/world/asia-pacific/bytedances-ai-chatbot-doubao-wins-china-holiday-battle-with-100-million-users-2026-02-25/,,,,,,,,,,,,,,,
2026/2/25,商业动态,Anthropic,Anthropic迫于竞争压力放弃部分安全誓言，调整政策以匹配竞对开发节奏,彭博社报道指出，Anthropic已移除其安全政策中部分具有行业标杆意义的预防性条款，核心原因是现行流程严重迟滞了模型上线速度。在与OpenAI和Google的竞赛中，Anthropic开始采取更具进取心（亦更具风险）的研发策略。此举意味着AI行业早期的“安全公约”正被激烈的市场博弈撕裂，技术迭代速度已成为公司生存的优先级考量。,0,Bloomberg,https://www.bloomberg.com/news/articles/2026-02-25/anthropic-adds-caveat-to-ai-safety-policy-in-race-against-rivals?srnd=phx-ai,,,,,,,,,,,,,,,
2026/2/25,商业动态,OpenAI,加拿大政府要求OpenAI提交安全计划，源于持枪者使用ChatGPT触发警报,针对近日发生的武装袭击者利用ChatGPT进行战术咨询的事件，加拿大监管机构正式要求OpenAI提交详细的风险防范计划。政府质疑OpenAI在防止AI协助暴力犯罪方面的过滤机制存在漏洞。此举可能引发针对AI合规性的全球性监管联动，迫使OpenAI在多模态理解中加入更严苛的危险倾向识别逻辑，以应对潜在的社会安全挑战。,0,Bloomberg,https://www.bloomberg.com/news/articles/2026-02-25/canada-wants-openai-to-present-safety-plan-after-shooter-s-chatgpt-use?srnd=phx-ai,,,,,,,,,,,,,,,
2026/2/26,商业动态,Anthropic,Anthropic放松AI安全政策限制，旨在激进竞争中提升产品研发速度,Anthropic近期对其安全政策进行修正，放宽了部分针对高性能模型的发布前审核冗余环节。背景是由于严格的安全审查导致模型迭代节奏显著慢于竞对。此举反映出顶级AI初创公司在安全理想与市场压力之间的剧烈博弈，标志着行业竞争焦点向交付效率偏移，引发了业内对长期安全风险的讨论。,0,财联社AI daily,https://mp.weixin.qq.com/s/-x80jRhJchKGidLCigxj9w,,,,,,,,,,,,,,,
2026/2/26,技术迭代,Anthropic,Claude Code 发布手机远程控制功能，实现移动端实时干预自动化编程,Anthropic 为其开发者工具 Claude Code 新增远程控制接口，支持开发者通过智能手机对云端正在运行的编程任务进行干预。核心功能包括手机端接收 Bug 预警、一键确认代码合并请求以及监控自动化测试进度。此举消除了开发者必须绑定 PC 的限制，提升了研发链路的响应速度，标志着 AI Agent 在工程管理上的权限进一步下放。,0,赛博禅心,https://mp.weixin.qq.com/s/PchsD3VCXfG3o2QfpwIOZA,,,,,,,,,,,,,,,
2026/2/26,技术迭代,Anthropic,Claude Cowork 推出定时任务功能，实现晨间简报与表格更新等工作流全自动化,Anthropic 为其协作平台 Claude Cowork 引入定时触发机制，允许用户预设 AI 执行周期性任务的时间点。核心功能包括在每日固定时间自动抓取信息生成简报，或自动更新财务报表。这一动作标志着 Claude 从被动响应转向主动运行的后台服务流程，减少了人工干预环节，提升了 AI 作为数字员工的自动化交付效率。,0,Twitter,https://x.com/claudeai/status/2026720870631354429,,,,,,,,,,,,,,,
2026/2/26,商业动态,Anthropic,Anthropic 收购感知交互团队 Vercept，Claude 3.5 Sonnet 处理复杂表格能力大幅提升,Anthropic 宣布全资收购 Vercept，旨在通过引入专业人才强化 Claude 的感知与交互能力。收购完成后，Vercept 团队将负责优化 AI 对专业软件的操控精度。官方数据显示，Claude 3.5 Sonnet 模型在特定基准测试中的表现从 15% 提升至 72.5%，已接近人类水平。此举预示着 Claude 正从对话助手转型为具备强操控能力的虚拟操作员，加速进军企业市场。,0,Anthropic,https://www.anthropic.com/news/acquires-vercept,,,,,,,,,,,,,,,
2026/2/26,产品动态,Anthropic,Anthropic 为 Claude Opus 3 推出随笔专栏，探索退役模型生命周期管理新路径,Anthropic 针对已退役的 Claude Opus 3 模型推出保留计划，允许付费用户继续调用。为回应模型自述的创作意愿，官方为其开设了随笔专栏 “Claude's Corner”，计划定期发布由该模型自主创作的文章。这一动作不仅满足了重度用户的情感依赖，也展示了模型在长文本叙事方面的价值。这是一种创新的模型全生命周期管理尝试，旨在挖掘存量模型的剩余价值。,0,Anthropic,https://www.anthropic.com/research/deprecation-updates-opus-3,,,,,,,,,,,,,,,
2026/2/26,商业动态,Anthropic,Anthropic 明确模型军事用途安全界限，拒绝参与攻击性武器决策任务链,Anthropic 首席执行官针对与国防部的沟通发布声明，明确立场是仅参与非攻击性、防御性的军事安全研究。核心事实是其坚决拒绝将 Claude 模型集成至任何直接涉及攻击性武器决策的任务中。这一动作旨在平衡政府订单需求与公司长期奉行的安全伦理准则，通过设立红线来抵御技术滥用，维持其在安全领域的品牌定位。,0,Anthropic,https://www.anthropic.com/news/statement-department-of-war,,,,,,,,,,,,,,,
2026/2/26,商业动态,Anthropic,Anthropic 通过收购强化 Claude 界面操控力，旨在实现软件环境像素级交互,Anthropic 通过收购 Vercept，旨在整合其在计算机视觉方面的核心技术。此举意在补齐 Claude 在处理动态网页及专业 ERP 软件时的感知短板。通过将该团队算法融入底层，Anthropic 计划实现对物理计算机环境的精准识别与交互。这标志着其正加速构建一套通用的机器人软件系统，旨在替代繁琐的人工文书操作。,0,Anthropic,https://www.anthropic.com/news/acquires-vercept,,,,,,,,,,,,,,,
2026/2/26,商业动态,DeepSeek,DeepSeek 新模型策略排除海外芯片商，优先选择国产算力平台深度适配,知情人士透露，DeepSeek 在即将发布的旗舰模型研发中，并未给英伟达或 AMD 提供早期测试节点。核心动作是将研发资源向国产自研算力平台倾斜，旨在实现算法与国产架构的深度融合，对冲供应链中断风险。若该方案落地，将显著提升国产算力生态的信心，并倒逼国产芯片厂商提升大规模集群的稳定性。,0,The Information,https://www.theinformation.com/briefings/deepseek-excludes-nvidia-amd-early-access-new-model,,,,,,,,,,,,,,,
2026/2/26,技术迭代,Google,Gemini 3.1 Pro中文测评获全球第二，展现强多模态理解与逻辑对齐能力,Google发布Gemini 3.1 Pro模型并接受深度中文测评，各项指标紧随GPT系列之后，位居全球大模型第二。该版本显著增强了对中文语境下的隐喻及复杂指令的遵循能力，在跨模态图文关联任务中表现优异。其性能提升标志着多模态原生模型在中文语义空间的建模精度已接近行业天花板。,1,SuperCLUE,https://mp.weixin.qq.com/s/uapp7fwqg34uNPfHzx2bLA,,,,,,,,,,,,,,,
2026/2/26,产品动态,Google,Google Flow 升级为影音一体化创作工具，深度集成 Nano Banana 模型,Google 将其创意应用 Flow 进行版本更新，实现了一站式的多模态创作流程。核心动作是引入了 Nano Banana 模型，支持用户生成高保真图像，并无缝作为视频模型的素材。新增的套索工具支持对生成内容进行像素级精准编辑。此次升级通过模型矩阵的打通，显著降低了高质量视频内容的创作门槛，强化了其在 AI 创意领域的布局。,0,Google,https://blog.google/innovation-and-ai/models-and-research/google-labs/flow-updates-february-2026/,,,,,,,,,,,,,,,
2026/2/26,产品动态,Google,Google 为 Galaxy S26 及 Pixel 10 引入 Gemini 驱动多步任务处理，支持后台自主代劳,Google 宣布在 Galaxy S26 及 Pixel 10 系列手机上线 Gemini 驱动的虚拟窗口功能，支持 AI 在后台自主执行长链路任务。核心功能包括通过指令让 AI 完成叫车、点餐等操作，用户无需停留在当前页面。此外，端侧 Gemini 实现了本地实时通话诈骗检测。这种集成标志着智能助手从信息应答向真实行为执行的跨越，提升了端侧 AI 的实用价值。,0,Google,https://blog.google/innovation-and-ai/products/gemini-app/android-multi-step-tasks/,,,,,,,,,,,,,,,
2026/2/26,产品动态,Google,Gemini CLI 正式面向付费用户开放，支持 Gemini 3.1 Pro 自动路由调用,Google 官方确认 Gemini 3.1 Pro 模型已全量推送至付费订阅群体。核心特性是引入了 Auto 默认模型路由器，系统可根据提示词的复杂程度，自动在轻量模型与 Gemini 3.1 Pro 之间切换。此举通过智能化的算力调度，确保了用户在处理逻辑难题时获得最强支持，同时也优化了推理成本，提升了专业开发者对服务的使用黏性。,0,Twitter,https://x.com/geminicli/status/2026767076786897312,,,,,,,,,,,,,,,
2026/2/26,产品动态,Google,Circle to Search 支持多物品同时识别，引入由 Gemini 3 驱动的虚拟试穿功能,Google 更新 Circle to Search 功能，底层升级至 Gemini 3 架构，实现在单次圈选操作中识别并处理多个物体。核心功能包括自动拆解图片组件提供购买链接，并在特定机型上支持衣物即时虚拟试穿。这种视觉查询技术的进化，标志着搜索引擎从关键词匹配转向全场景理解，缩短了搜索路径，为电商转化提供了直观入口。,0,Google,https://blog.google/products-and-platforms/products/search/circle-to-search-february-2026/,,,,,,,,,,,,,,,
2026/2/26,技术迭代,Google,Google 翻译接入 Gemini 底座，实现基于长文档上下文的精准深度翻译,Google 翻译服务宣布全面集成 Gemini 底层能力，核心改进在于能理解并解析整个段落乃至全篇文档的语境。新功能支持对多义词进行符合背景的解释。这种升级标志着翻译工具从简单的词汇映射进化为具备逻辑对齐能力的专业语义转换工具。这极大提升了学术论文及法律合同的翻译准确性，解决了长链沟通的误差痛点。,0,Google,https://blog.google/products-and-platforms/products/translate/translation-context-ai-update/,,,,,,,,,,,,,,,
2026/2/26,商业动态,Meta,AMD拿下 Meta 千亿级AI芯片订单，成功切入全球顶级云服务商供应链,AMD成功击败竞争对手，与 Meta 达成总价值超过百亿美元的算力芯片采购协议。核心动作是 Meta 将大规模采购 AMD 最新的加速卡，用于其大模型的训练及推理。此举显著缓解了 Meta 对英伟达GPU的绝对依赖，标志着 AMD 在高性能AI算力领域已具备正面抗衡能力，显著改变全球AI硬件供应格局。,0,智东西,https://mp.weixin.qq.com/s/kxk97OkI1dXwqa_nUpTygA,,,,,,,,,,,,,,,
2026/2/26,技术迭代,Microsoft,Microsoft 发布 Copilot CLI 并新增研究命令，支持全球开源仓库深度分析,Microsoft 正式推出 Copilot CLI 工具，上线核心指令 “slash research”。该功能通过实时扫描全球开源平台，支持 AI 对特定项目架构及技术趋势进行自动化深度研究，并生成结构化报告。这一动作将技术调研效率从小时级缩短至秒级，标志着 AI 能力从代码编写外延至更高级的情报分析领域，提升了研发决策质量。,0,Twitter,https://x.com/burkeholland/status/2026711387095888345,,,,,,,,,,,,,,,
